id,date_on_outdoorsy,make,year,daily_rate_cents,weekly_rate_cents,monthly_rate_cents,min_days,security_deposit_cents,num_miles_free_daily,per_mile_cents,location,num_favorites,this_year_bookings,this_year_revenue,average_trip_revenue,average_trip_duration_days,last_year_bookings,last_year_revenue,url
19784,2017-08-18,Ford,2013,12900,90300,305200,2,100000,100,50,Pacifica,1519,13,10836,833.5384615384615,6.461538461538462,10,2322,https://www.outdoorsy.com/rv-rental/pacifica_ca/2013_ford_transit_19784-listing
281994,2022-02-19,Dodge,2005,12000,75600,235200,0,50000,100,35,Oakland,70,9,13152,1461.3333333333333,15.11111111111111,0,0,https://www.outdoorsy.com/rv-rental/oakland_ca/2005_dodge_sprinter-van_281994-listing
210606,2021-02-12,Ram,2019,18000,126000,504000,2,100000,125,50,San Francisco/Oakland,590,8,37980,4747.5,27.375,5,21060,https://www.outdoorsy.com/rv-rental/san-franciscooakland_ca/2019_ram_promaster_210606-listing
269742,2021-11-12,Mercedes,2017,22900,144270,512960,0,50000,100,35,Castro Valley,146,10,16281,1628.19,7.6,0,0,https://www.outdoorsy.com/rv-rental/castro-valley_ca/2017_mercedes_sprinter_269742-listing
263920,2021-09-30,Thor Motor Coach,2022,22900,144270,577080,0,100000,150,35,Walnut Creek,32,3,37372,12457.6,63.333333333333336,0,0,https://www.outdoorsy.com/rv-rental/walnut-creek_ca/2022_mercedes_sprinter_263920-listing
284664,2022-03-06,Ford,2018,14900,104300,417200,2,100000,0,N/A,Pacifica,23,7,8940,1277.142857142857,8.571428571428571,0,0,https://www.outdoorsy.com/rv-rental/pacifica_ca/2018_ford_transit_284664-listing
55607,2018-05-30,Ford,2011,12900,90300,305200,2,100000,100,50,Pacifica,169,13,8772,674.7692307692307,5.230769230769231,9,4902,https://www.outdoorsy.com/rv-rental/pacifica_ca/2011_ford_transit_55607-listing
231918,2021-05-24,Dodge,2006,15500,107725,430900,0,50000,150,65,Oakland,113,11,11276,1025.1136363636363,6.636363636363637,3,9245,https://www.outdoorsy.com/rv-rental/oakland_ca/2006_dodge_sprinter_231918-listing
279078,2022-02-02,Dodge,2018,19000,126350,494760,0,100000,100,60,El Cerrito,22,5,3733,746.7,4,0,0,https://www.outdoorsy.com/rv-rental/el-cerrito_ca/2018_dodge_pro-master-2500_279078-listing
287911,2022-03-23,Winnebago,2022,25000,157500,630000,0,120000,100,59,San Francisco,13,9,15275,1697.2222222222222,7.333333333333333,0,0,https://www.outdoorsy.com/rv-rental/san-francisco_ca/2022_winnebago_solis_287911-listing
275057,2022-01-04,Nissan,2017,19500,122850,491400,0,50000,100,35,Berkeley,12,3,2340,780,4,0,0,https://www.outdoorsy.com/rv-rental/berkeley_ca/2017_nissan_other_275057-listing
284408,2022-03-05,THOR,2022,29800,187740,667520,0,50000,100,35,Danville,21,6,10310,1718.4666666666665,6,0,0,https://www.outdoorsy.com/rv-rental/danville_ca/2022_thor_tellaro-20a_284408-listing
277187,2022-01-19,Thor Motor Coach,2022,29900,167440,502320,0,100000,175,45,Oakland,36,9,15548,1727.5555555555557,6.555555555555555,0,0,https://www.outdoorsy.com/rv-rental/oakland_ca/2022_thor-motor-coach_18m_277187-listing
150322,2019-12-18,Mercedes-Benz,2020,32500,202300,725200,3,50000,275,30,Emeryville,683,6,12244,2040.6666666666667,6.666666666666667,2,4696,https://www.outdoorsy.com/rv-rental/emeryville_ca/2020_mercedes-benz_4x4-sprinter-mwb_150322-listing
209551,2021-02-05,Ram,2019,20000,140000,560000,2,100000,125,35,San Francisco/Oakland,137,10,14600,1460,7.3,7,23200,https://www.outdoorsy.com/rv-rental/san-franciscooakland_ca/2019_ram_promaster_209551-listing
268857,2021-11-05,Dodge,2021,24000,159600,611520,0,100000,120,50,RICHMOND,110,7,44203,6314.742857142856,30.285714285714285,3,8064,https://www.outdoorsy.com/rv-rental/richmond_ca/2021_dodge_ram-2500-promaster_268857-listing
231290,2021-05-21,Mercedes,2013,13500,85050,340200,0,100000,100,35,Pacifica,272,13,10138,779.8846153846154,6.3076923076923075,18,4806,https://www.outdoorsy.com/rv-rental/pacifica_ca/2013_mercedes_sprinter_231290-listing
254625,2021-08-13,Ford,2014,13500,85050,340200,0,50000,100,35,Berkeley,206,12,7587,632.25,4.916666666666667,4,1755,https://www.outdoorsy.com/rv-rental/berkeley_ca/2014_ford_ford-e350_254625-listing
180875,2020-08-04,Other,2012,27500,179025,693000,0,100000,100,50,San Francisco,539,6,34551,5758.5,23.666666666666668,13,60068,https://www.outdoorsy.com/rv-rental/san-francisco_ca/2012_leisure-travel_serenity_180875-listing
280777,2022-02-12,Thor,2022,27500,173250,616000,0,100000,100,35,Danville,53,4,6490,1622.5,6.25,0,0,https://www.outdoorsy.com/rv-rental/danville_ca/2022_other_other_280777-listing
239251,2021-06-20,Ford,2013,12900,90300,361200,2,100000,100,50,Pacifica,126,2,30831,15415.5,127.5,8,9159,https://www.outdoorsy.com/rv-rental/pacifica_ca/2013_ford_transit-connect_239251-listing
48263,2018-04-28,Volkswagen,1984,12500,120001,350000,3,50000,100,35,Oakland,115,1,25000,25000,214,0,0,https://www.outdoorsy.com/rv-rental/oakland_ca/1984_volkswagen_westfalia_48263-listing
227618,2021-05-07,Custom,2020,19900,139300,557200,0,50000,100,35,San Jose,606,14,23084,1648.857142857143,8.285714285714286,10,2388,https://www.outdoorsy.com/rv-rental/san-jose_ca/2020_custom_camper_227618-listing
223219,2021-04-17,Mercedes,2019,29500,206500,826000,0,50000,100,35,Sausalito,45,4,7670,1917.5,6.5,5,18880,https://www.outdoorsy.com/rv-rental/sausalito_ca/2019_mercedes-benz_sprinter_223219-listing
230734,2021-05-19,Dodge,2018,9900,69300,277200,2,50000,120,35,San Francisco,67,5,6930,1386,14.4,7,1782,https://www.outdoorsy.com/rv-rental/san-francisco_ca/2018_dodge_grand-garavan-gt_230734-listing
262556,2021-09-21,Dodge,2020,18000,126000,504000,2,100000,125,50,San Francisco/Oakland,62,9,12060,1340,7.444444444444445,2,1620,https://www.outdoorsy.com/rv-rental/san-franciscooakland_ca/2020_ram_promaster_262556-listing
193132,2020-09-29,Nissan,2019,11500,80500,322000,2,100000,125,35,San Francisco/Oakland,150,5,4025,805,7,9,4715,https://www.outdoorsy.com/rv-rental/san-franciscooakland_ca/2019_nissan_nv200_193132-listing
221198,2021-04-08,Roadtrek,1994,10000,56000,224000,0,50000,150,30,Oakland,140,4,1200,300,3,7,5560,https://www.outdoorsy.com/rv-rental/oakland_ca/1994_roadtrek_190-versatile_221198-listing
143660,2019-09-28,Roadtrek,2004,18500,129500,440300,4,100000,125,50,Alameda,399,2,59126,29563,197,11,69264,https://www.outdoorsy.com/rv-rental/alameda_ca/2004_roadtrek_190-popular_143660-listing
170405,2020-06-22,Ford,2007,15000,90300,336000,0,55000,175,35,Daly City,245,4,11733,2933.25,25.5,5,10929,https://www.outdoorsy.com/rv-rental/daly-city_ca/2007_ford_econoline-e250supercab_170405-listing
165820,2020-05-30,Volkswagen,1997,16500,101000,447500,0,65000,150,45,San Francisco,310,5,10825,2165,14.4,11,3340,https://www.outdoorsy.com/rv-rental/san-francisco_ca/1997_volkswagen_eurovan-camper_165820-listing
38771,2018-03-12,Mercedes-Benz,2014,25000,175000,700000,2,150000,125,100,San Francisco/Oakland,637,11,14500,1318.1818181818182,5.2727272727272725,9,24250,https://www.outdoorsy.com/rv-rental/san-franciscooakland_ca/2014_mercedes-benz_sprinter_38771-listing
207216,2021-01-19,Volkswagen,1990,19500,122850,491400,0,100000,100,35,San Francisco,65,1,34593,34593,211,7,19285,https://www.outdoorsy.com/rv-rental/san-francisco_ca/1990_volkswagen_westfalia_207216-listing
62178,2018-06-18,Chrysler,2010,5900,41300,148680,7,50000,100,25,Oakland,222,1,18077,18077.6,364,2,35907,https://www.outdoorsy.com/rv-rental/oakland_ca/2010_chrysler_town-country_62178-listing
