id,date_on_outdoorsy,make,year,daily_rate_cents,weekly_rate_cents,monthly_rate_cents,min_days,security_deposit_cents,num_miles_free_daily,per_mile_cents,location,num_favorites,this_year_bookings,this_year_revenue,average_trip_revenue,average_trip_duration_days,last_year_bookings,last_year_revenue,url
190741,2020-09-17,Dodge,2018,18000,113400,418320,0,50000,125,45,South San Francisco,162,1,0,0,0,5,4374,https://www.outdoorsy.com/rv-rental/south-san-francisco_ca/2018_dodge_ram_190741-listing
284769,2022-03-07,Thor,2020,27900,175770,624960,0,50000,100,35,Belmont,6,2,11801,5900.85,26,0,0,https://www.outdoorsy.com/rv-rental/belmont_ca/2020_thor_sequence_284769-listing
115834,2019-04-13,Sportsmobile,2011,19400,133000,476000,2,80000,100,40,San Francisco,278,1,1330,1330,7,4,12552,https://www.outdoorsy.com/rv-rental/san-francisco_ca/2011_sportsmobile_other_115834-listing
269571,2021-11-11,Hymer,2019,26700,168210,598080,0,100000,100,50,San Jose,148,14,27768,1983.4285714285713,7.928571428571429,4,3284,https://www.outdoorsy.com/rv-rental/san-jose_ca/2019_hymer_hymer-class-b_269571-listing
201467,2020-11-26,Ford,2015,29325,190904,632908,2,50000,100,35,South San Francisco,151,2,4404,2202.29,8,1,4404,https://www.outdoorsy.com/rv-rental/south-san-francisco_ca/2015_ford_transit_201467-listing
288222,2022-03-24,Winnebago,2021,35000,245000,980000,2,150000,125,50,San Francisco/Oakland,2,2,4200,2100,6,0,0,https://www.outdoorsy.com/rv-rental/san-franciscooakland_ca/2021_winnebago_revel_288222-listing
262584,2021-09-21,Ram,2019,28000,196000,705600,0,50000,200,35,Oakland,52,1,77896,77896,331,4,8400,https://www.outdoorsy.com/rv-rental/oakland_ca/2019_ram_promaster-159-wb-3500-ext_262584-listing
267142,2021-10-21,Winnebago,2019,28900,187131,687820,0,150000,150,55,San Francisco,59,7,82914,11844.891428571429,50.142857142857146,2,3894,https://www.outdoorsy.com/rv-rental/san-francisco_ca/2019_winnebago_revel_267142-listing
261953,2021-09-18,Chevrolet,2003,16000,112000,448000,0,50000,150,50,Mill Valley,25,0,0,0,0,4,3200,https://www.outdoorsy.com/rv-rental/mill-valley_ca/2003_chevrolet_astro-awd_261953-listing
217636,2021-03-22,Mercedes-Benz,2021,29500,206500,826000,3,65000,250,35,Mill Valley,36,2,2950,1475,5,4,9145,https://www.outdoorsy.com/rv-rental/mill-valley_ca/2020_mercedes-benz_sprinter_217636-listing
281263,2022-02-15,Mercedes-Benz,2019,30000,210000,840000,2,100000,125,50,San Francisco/Oakland,6,3,7800,2600,8.666666666666666,0,0,https://www.outdoorsy.com/rv-rental/san-franciscooakland_ca/2019_mercedes-benz_sprinter-2500_281263-listing
179739,2020-07-30,Pleasure Way,2006,15700,109900,439600,0,75000,100,35,Wilsonville,330,1,13188,13188,90,4,35011,https://www.outdoorsy.com/rv-rental/wilsonville_or/2006_pleasure-way_excel_179739-listing
171712,2020-06-28,Land Rover,2010,12000,75600,302400,0,75000,125,35,Alameda,163,1,40032,40032,396,1,36888,https://www.outdoorsy.com/rv-rental/alameda_ca/2010_other_other_171712-listing
167710,2020-06-10,Winnebago,2019,21060,147420,587574,0,250000,100,45,Alameda,434,1,2948,2948.4,14,3,7160,https://www.outdoorsy.com/rv-rental/alameda_ca/2019_winnebago_era_167710-listing
276227,2022-01-13,Freightliner,2014,19000,119700,425600,0,150000,100,50,Mill Valley,23,2,1767,883.5,5,0,0,https://www.outdoorsy.com/rv-rental/mill-valley_ca/2014_freightliner_sprinter_276227-listing
237201,2021-06-12,Mercedes,2006,18500,129500,466200,0,75000,150,50,El Cerrito,126,5,7585,1517,8.2,6,5365,https://www.outdoorsy.com/rv-rental/el-cerrito_ca/2006_mercedes_sprinter_237201-listing
240975,2021-06-26,Winnebago,2017,29500,206500,826000,3,65000,250,35,Mill Valley,26,3,4720,1573.3333333333333,5.333333333333333,4,2950,https://www.outdoorsy.com/rv-rental/mill-valley_ca/2017_winnebago_paseo_240975-listing
116681,2019-04-19,Dodge,2019,9900,69300,249200,3,30000,150,20,San Francisco,207,3,3564,1188,12,11,7128,https://www.outdoorsy.com/rv-rental/san-bruno_ca/2019_dodge_grand-caravan_116681-listing
240288,2021-06-24,Dodge,2018,12500,87500,350000,3,50000,250,35,Mill Valley,5,0,0,0,0,4,2125,https://www.outdoorsy.com/rv-rental/mill-valley_ca/2018_dodge_b-van_240288-listing
168460,2020-06-14,Dodge,2017,17000,115500,420000,0,150000,100,40,Berkeley,241,3,9705,3235,21,6,21435,https://www.outdoorsy.com/rv-rental/berkeley_ca/2017_dodge_b-van_168460-listing
218544,2021-03-27,Dodge,2018,11000,77000,308000,0,50000,100,35,Oakland,75,3,4620,1540,14,0,0,https://www.outdoorsy.com/rv-rental/oakland_ca/2018_dodge_grand-caravan_218544-listing
201951,2020-12-01,Dodge,2020,21500,150500,511700,0,200000,100,69,Sunnyvale,330,6,17200,2866.6666666666665,13.333333333333334,3,3225,https://www.outdoorsy.com/rv-rental/sunnyvale_ca/2020_dodge_other_201951-listing
192055,2020-09-23,Thor Motor Coach,2021,24900,174300,697200,0,69900,100,80,Mountain View,399,4,3237,809.25,3.25,6,4980,https://www.outdoorsy.com/rv-rental/mountain-view_ca/2021_thor-motor-coach_sequence-20l_192055-listing
269535,2021-11-10,Mercedes-Benz,2015,19900,139300,557200,0,50000,100,45,San Mateo,12,0,0,0,0,0,0,https://www.outdoorsy.com/rv-rental/san-mateo_ca/2015_mercedes-benz_sprinter_269535-listing
226516,2021-05-03,Dodge,2017,11000,77000,277200,0,50000,100,35,Oakland,80,2,2090,1045,9.5,0,0,https://www.outdoorsy.com/rv-rental/oakland_ca/2017_dodge_grand-caravan_226516-listing
199497,2020-11-09,Thor Motor Coach,2017,17900,134500,594400,0,50000,100,35,Santa Clara,239,8,12724,1590.5,8.5,2,10066,https://www.outdoorsy.com/rv-rental/santa-clara_ca/2017_thor-motor-coach_four-winds-majestic_199497-listing
196015,2020-10-16,Mercedes-Benz,2018,29000,203000,730800,0,50000,100,35,San Anselmo,269,3,9280,3093.3333333333335,10.666666666666666,6,16820,https://www.outdoorsy.com/rv-rental/san-anselmo_ca/2018_mercedes-benz_sprinter_196015-listing
274146,2021-12-27,Winnebago,2022,32000,201600,806400,0,120000,150,50,Walnut Creek,3,3,4896,1632,5.333333333333333,0,0,https://www.outdoorsy.com/rv-rental/walnut-creek_ca/2022_winnebago_travato_274146-listing
208030,2021-01-25,Other,2021,32805,229635,918540,0,50000,100,100,San Mateo,78,1,1968,1968.3,6,2,3936,https://www.outdoorsy.com/rv-rental/san-mateo_ca/2021_midwest-automotive-designs_super-sprinter_208030-listing
279186,2022-02-02,Dodge,2021,24900,156870,557760,0,100000,200,35,Novato,23,4,6947,1736.775,7.5,0,0,https://www.outdoorsy.com/rv-rental/novato_ca/2021_dodge_ram-promaster-250020_279186-listing
257047,2021-08-23,Airstream,2004,23900,150570,535360,0,50000,100,50,Greenbrae,26,4,10826,2706.675,13.75,3,6190,https://www.outdoorsy.com/rv-rental/greenbrae_ca/2004_airstream_interstate_257047-listing
283777,2022-03-01,3C6ERVBG4ME501772,2021,14500,91350,324800,0,100000,100,100,Pacifica,8,2,2407,1203.5,9,0,0,https://www.outdoorsy.com/rv-rental/pacifica_ca/2021_3c6ervbg4me501772_promaster_283777-listing
153183,2020-01-22,Dodge,1997,10500,73500,294000,0,100000,100,35,Redwood City,366,13,10395,799.6153846153846,7.615384615384615,12,18795,https://www.outdoorsy.com/rv-rental/redwood-city_ca/1997_dodge_ram-2500-van_153183-listing
263945,2021-09-30,Winnebago,2022,24900,174300,697200,4,150000,100,59,San Leandro,39,7,19422,2774.5714285714284,11.142857142857142,3,3237,https://www.outdoorsy.com/rv-rental/san-leandro_ca/2022_winnebago_solis-59p_263945-listing
230338,2021-05-18,Dodge,2019,22000,151800,613800,0,100000,100,35,Hercules,83,1,39446,39446,192,3,22572,https://www.outdoorsy.com/rv-rental/hercules_ca/2019_dodge_ram-1500_230338-listing
229213,2021-05-13,Winnebago,2020,39900,279300,1117200,0,150000,100,100,San Leandro,77,1,256956,256956,688,6,327180,https://www.outdoorsy.com/rv-rental/san-leandro_ca/2020_winnebago_mercedes_229213-listing
289041,2022-03-28,Thor Motor Coach,2022,26900,182920,726300,4,150000,100,59,San Leandro,1,1,2636,2636.2,10,0,0,https://www.outdoorsy.com/rv-rental/san-leandro_ca/2022_thor-motor-coach_scope_289041-listing
195564,2020-10-14,Winnebago,2021,38000,266000,1060200,3,100000,135,55,Danville,245,8,24700,3087.5,8.125,10,25080,https://www.outdoorsy.com/rv-rental/danville_ca/2021_winnebago_revel_195564-listing
103766,2019-01-02,Chevrolet,0,8800,61600,246400,5,0,0,N/A,Hayward,497,3,4664,1554.6666666666667,18.333333333333332,0,0,https://www.outdoorsy.com/rv-rental/hayward_ca/2015_chevrolet_express_103766-listing
114218,2019-03-31,Ford,2019,10000,63000,238000,2,50000,100,35,Hayward,258,2,5170,2585,30,1,24000,https://www.outdoorsy.com/rv-rental/hayward_ca/2019_ford_transit-custom_114218-listing
116864,2019-04-21,Roadtrek,2016,18500,129500,518000,4,150000,150,35,Vallejo,228,6,45510,7585,43.333333333333336,6,58830,https://www.outdoorsy.com/rv-rental/vallejo_ca/2016_roadtrek_agile-ss_116864-listing
267048,2021-10-21,Other,2022,29900,188370,711620,0,69900,100,80,Cupertino,157,13,31753,2442.6,9.076923076923077,1,1495,https://www.outdoorsy.com/rv-rental/cupertino_ca/2022_thor-motor-coach_tellaro20at_267048-listing
278112,2022-01-26,Thor Motor Coach,2022,19900,125370,417900,0,100000,150,35,Fairfax,38,7,11362,1623.2714285714285,8.857142857142858,0,0,https://www.outdoorsy.com/rv-rental/fairfax_ca/2022_thor-motor-coach_other_278112-listing
261150,2021-09-13,Dodge,2008,18900,119070,423360,0,50000,300,45,San Leandro,51,1,1379,1379.7,8,0,0,https://www.outdoorsy.com/rv-rental/san-leandro_ca/2008_dodge_sprinter_261150-listing
278153,2022-01-26,Winnebago,2020,35000,245000,980000,2,150000,125,50,San Francisco/Oakland,11,3,6300,2100,6,0,0,https://www.outdoorsy.com/rv-rental/san-franciscooakland_ca/2020_winnebago_revel_278153-listing
205179,2021-01-04,Mercedes,2020,25000,175000,700000,0,50000,100,50,San Francisco,40,1,17500,17500,74,5,14500,https://www.outdoorsy.com/rv-rental/san-francisco_ca/2020_mercedes_sprinter_205179-listing
154421,2020-02-03,Sportsmobile,2008,23000,153500,614000,0,150000,100,35,San Francisco,171,2,75290,37645,183.5,1,75215,https://www.outdoorsy.com/rv-rental/san-francisco_ca/2008_sportsmobile_e250-hd-regular-length_154421-listing
251895,2021-08-03,Winnebago,2021,30000,210000,840000,0,150000,250,35,Hercules,17,8,9300,1162.5,3.875,5,3600,https://www.outdoorsy.com/rv-rental/hercules_ca/2021_winnebago_revel_251895-listing
203492,2020-12-16,Mercedes-Benz,2021,28500,199500,798000,2,100000,125,35,San Francisco/Oakland,122,2,12825,6412.5,23.5,6,55005,https://www.outdoorsy.com/rv-rental/san-franciscooakland_ca/2021_mercedes-benz_storyteller-overland-mode-4x4_203492-listing
246648,2021-07-16,Dodge,2007,15000,105000,420000,2,100000,125,35,San Francisco/Oakland,58,4,1500,375,2.5,1,450,https://www.outdoorsy.com/rv-rental/san-franciscooakland_ca/2007_dodge_sprinter_246648-listing
273701,2021-12-21,Mercedes-Benz,2021,36000,252000,1008000,2,150000,125,50,San Francisco/Oakland,15,9,15120,1680,4.666666666666667,0,0,https://www.outdoorsy.com/rv-rental/san-franciscooakland_ca/2021_mercedes-benz_storyteller-overland-stealth-mode-4x4_273701-listing
57675,2018-06-04,Hymer,2018,26900,188300,753200,2,100000,100,55,San Jose,842,7,8070,1152.857142857143,4.285714285714286,6,43578,https://www.outdoorsy.com/rv-rental/san-jose_ca/2018_hymer_aktiv_57675-listing
215465,2021-03-11,Mercedes,2019,27500,173250,693000,0,50000,100,35,San Francisco,47,0,0,0,0,5,7865,https://www.outdoorsy.com/rv-rental/san-francisco_ca/2019_mercedes_sprinter_215465-listing
211293,2021-02-17,Ford,2020,28980,188657,625464,2,50000,100,35,South San Francisco,179,3,5364,1788.0566666666666,6.333333333333333,1,1159,https://www.outdoorsy.com/rv-rental/south-san-francisco_ca/2020_ford_transit-350-rwd_211293-listing
103932,2019-01-04,Ford,2017,10000,70000,280000,0,50000,100,35,Hayward,334,2,2100,1050,10.5,1,28200,https://www.outdoorsy.com/rv-rental/hayward_ca/2017_ford_transit-custom_103932-listing
262338,2021-09-20,Mercedes-Benz,2022,36000,252000,1008000,2,100000,125,35,San Francisco/Oakland,8,5,88920,17784,52.2,1,39600,https://www.outdoorsy.com/rv-rental/san-franciscooakland_ca/2022_mercedes-benz_sprinter_262338-listing
276759,2022-01-17,Dodge,1997,12500,78750,280000,0,50000,100,35,Oakland,0,1,787,787.5,7,0,0,https://www.outdoorsy.com/rv-rental/oakland_ca/1997_dodge_ram-1500_276759-listing
113749,2019-03-27,Freightliner,2005,17200,104300,369600,3,100000,100,35,Alameda,347,1,28302,28302,226,5,13566,https://www.outdoorsy.com/rv-rental/alameda_ca/2005_freightliner_sprinter_113749-listing
282617,2022-02-23,Mercedes-Benz,2021,21500,150500,602000,3,100000,250,35,Mill Valley,0,0,0,0,0,0,0,https://www.outdoorsy.com/rv-rental/mill-valley_ca/2021_mercedes-benz_sprinter_282617-listing
259269,2021-09-03,Sportsmobile,2013,19000,126350,478800,0,50000,100,45,San Mateo,74,9,14525,1613.9444444444443,9.222222222222221,3,2213,https://www.outdoorsy.com/rv-rental/san-mateo_ca/2013_sportsmobile_custom-design_259269-listing
94787,2018-09-21,Mercedes-Benz,2016,13500,85050,340200,2,80000,150,35,San Francisco,416,1,270,270,2,9,10935,https://www.outdoorsy.com/rv-rental/san-francisco_ca/2016_mercedes-benz_metris_94787-listing
283587,2022-02-28,Ram,2014,17900,112770,426020,0,90000,125,35,Hayward,12,7,8681,1240.2142857142858,7.428571428571429,0,0,https://www.outdoorsy.com/rv-rental/hayward_ca/2014_ram_promaster-2500_283587-listing
214405,2021-03-06,Hymer,2017,26900,188300,753200,3,75000,250,35,Mill Valley,86,0,0,0,0,6,10222,https://www.outdoorsy.com/rv-rental/mill-valley_ca/2017_hymer_sonne_214405-listing
165787,2020-05-30,Airstream,2005,35000,245000,980000,0,150000,150,60,Oakland,154,1,439250,439250,1343,1,558600,https://www.outdoorsy.com/rv-rental/oakland_ca/2005_airstream_sprinter_165787-listing
280227,2022-02-09,Ford,2016,17000,119000,476000,2,100000,125,35,San Francisco/Oakland,7,1,1360,1360,8,0,0,https://www.outdoorsy.com/rv-rental/san-franciscooakland_ca/2016_ford_transit_280227-listing
73518,2018-07-19,Dodge,2008,6900,48300,173880,7,50000,100,25,Oakland,119,1,21141,21141.6,364,2,41993,https://www.outdoorsy.com/rv-rental/oakland_ca/2008_dodge_grand-caravan_73518-listing
186129,2020-08-27,Dodge,2018,14500,91350,324800,0,50000,100,35,South San Francisco,52,1,913,913.5,7,3,1015,https://www.outdoorsy.com/rv-rental/south-san-francisco_ca/2018_dodge_other_186129-listing
176395,2020-07-18,Mercedes-Benz,2011,17500,122500,490000,2,100000,125,35,San Francisco/Oakland,174,17,21525,1266.1764705882354,7.352941176470588,17,22050,https://www.outdoorsy.com/rv-rental/san-franciscooakland_ca/2011_mercedes-benz_sprinter_176395-listing
218468,2021-03-27,Sportsmobile,2011,19000,133000,532000,0,99000,100,30,San Francisco,9,0,0,0,0,3,44650,https://www.outdoorsy.com/rv-rental/san-francisco_ca/2011_sportsmobile_custom-design_218468-listing
31068,2017-12-31,Ford,1997,15600,79499,316008,2,50000,100,35,Oakland,171,0,0,0,0,0,0,https://www.outdoorsy.com/rv-rental/oakland_ca/1997_ford_e350-box-van_31068-listing
124249,2019-06-06,Jeep,2019,22000,154000,616000,2,100000,150,65,San Francisco,212,7,22880,3268.5714285714284,15.142857142857142,2,1760,https://www.outdoorsy.com/rv-rental/san-francisco_ca/2019_jeep_wrangler-rubicon_124249-listing
222980,2021-04-16,Ford,2004,12500,80500,280000,0,50000,100,35,Berkeley,39,0,0,0,0,0,0,https://www.outdoorsy.com/rv-rental/berkeley_ca/2004_ford_econoline_222980-listing
19212,2017-08-08,Ford,2016,24500,89600,308000,3,100000,0,32,South San Francisco,823,0,0,0,0,0,0,https://www.outdoorsy.com/rv-rental/south-san-francisco_ca/2016_ford_van_19212-listing
265961,2021-10-13,Mercedes-Benz,2009,19900,125370,445760,0,50000,100,35,MARTINEZ,67,6,12875,2145.883333333333,13.666666666666666,4,3960,https://www.outdoorsy.com/rv-rental/martinez_ca/2009_mercedes-benz_sprinter_265961-listing
229668,2021-05-15,Winnebago,2022,32400,204120,771480,0,100000,125,55,DANVILLE,114,4,7322,1830.6,6,9,13575,https://www.outdoorsy.com/rv-rental/danville_ca/2022_winnebago_winnebago_229668-listing
253662,2021-08-09,Mercedes-Benz,2021,20500,143500,574000,7,75000,0,N/A,Mill Valley,5,0,0,0,0,0,0,https://www.outdoorsy.com/rv-rental/mill-valley_ca/2021_mercedes-benz_sprinter_253662-listing
124248,2019-06-06,Toyota,2019,21000,147000,588000,4,100000,150,65,San Francisco,105,9,10290,1143.3333333333333,5.444444444444445,3,3570,https://www.outdoorsy.com/rv-rental/san-francisco_ca/2019_toyota_trd-pro_124248-listing
206991,2021-01-18,Lexus,2005,15900,100170,356160,0,50000,100,35,Sunnyvale,98,4,2639,659.85,4.5,6,2703,https://www.outdoorsy.com/rv-rental/sunnyvale_ca/2005_other_other_206991-listing
274120,2021-12-27,Other,2004,15500,97650,347200,0,75000,125,35,Millbrae,0,0,0,0,0,1,620,https://www.outdoorsy.com/rv-rental/millbrae_ca/2004_other_other_274120-listing
103769,2019-01-02,Chevrolet,2012,9100,63700,254800,5,0,0,N/A,Hayward,280,1,182,182,2,1,637,https://www.outdoorsy.com/rv-rental/hayward_ca/2018_chevrolet_express_103769-listing
204360,2020-12-27,Mercedes-Benz,2019,20000,140000,560000,2,100000,150,75,Newark,59,2,2000,1000,5,5,7600,https://www.outdoorsy.com/rv-rental/newark_ca/2019_mercedes-benz_sprinter_204360-listing
220071,2021-04-03,Ford,1996,10500,73500,294000,0,100000,100,35,Redwood City,110,12,13860,1155,11,10,14385,https://www.outdoorsy.com/rv-rental/redwood-city_ca/1996_ford_econoline-club-wagon_220071-listing
211745,2021-02-19,Jeep,2021,27500,192500,770000,2,150000,150,65,San Francisco,15,7,15675,2239.285714285714,8.142857142857142,3,22550,https://www.outdoorsy.com/rv-rental/san-francisco_ca/2021_jeep_gladiator_211745-listing
75550,2018-07-24,Volkswagen,1982,15700,109900,411340,2,100000,100,35,Newark,304,7,14475,2067.9142857142856,13.714285714285714,9,8635,https://www.outdoorsy.com/rv-rental/newark_ca/1982_volkswagen_westfalia_75550-listing
226864,2021-05-05,Mitsubishi,1992,17600,123200,492800,0,50000,0,N/A,South San Francisco,0,0,0,0,0,0,0,https://www.outdoorsy.com/rv-rental/south-san-francisco_ca/1992_mitsubishi_delica-chamonix_226864-listing
109390,2019-02-24,Chevrolet,1999,12000,65100,252000,2,50000,100,35,San Francisco,44,0,0,0,0,0,0,https://www.outdoorsy.com/rv-rental/san-francisco_ca/1999_chevrolet_astrovan_109390-listing
102823,2018-12-17,Ford,2013,12000,70000,266000,0,50000,100,35,San Francisco,67,0,0,0,0,0,0,https://www.outdoorsy.com/rv-rental/san-francisco_ca/2013_ford_transit-connect_102823-listing
260276,2021-09-09,Mercedes-Benz,2021,31700,199710,710080,0,98500,100,35,San Francisco,1,0,0,0,0,0,0,https://www.outdoorsy.com/rv-rental/san-francisco_ca/2021_mercedes-benz_sprinter_260276-listing
240974,2021-06-26,Dodge,2018,10000,70000,280000,0,50000,100,35,Oakland,65,2,1900,950,9.5,0,0,https://www.outdoorsy.com/rv-rental/oakland_ca/2018_dodge_grand-caravan_240974-listing
